!CSV A.01.01
!Keysight Technologies,N5245B,MY63058204,A.19.30.04
!Date: Friday, March 20, 2026 10:11:15
!Source: Standard

!CW Freq: 27500000000 Hz
BEGIN CH7_DATA
Power(dBm),S21(DB),S21(DEG),"R1,1"(DB),"R1,1"(DEG),S21(DB),S21(DEG),"B,1"(DB),"B,1"(DEG)
-17.48,-1.6850803,113.03998,-17.386408,-100.01623,0.8236562,113.03998,-19.071489,13.023753
-17.386666666667,-1.7242955,113.05627,-17.29388,-100.00356,0.81994593,113.05627,-19.018177,13.052707
-17.293333333333,-1.7200757,112.94924,-17.200306,-99.998962,0.82034439,112.94924,-18.920382,12.950277
-17.2,-1.7342669,112.7351,-17.106737,-100.00629,0.81900519,112.7351,-18.841003,12.728814
-17.106666666667,-1.7720224,112.92996,-17.014275,-100.01208,0.81545287,112.92996,-18.786297,12.917874
-17.013333333333,-1.6562492,113.07956,-16.923794,-100.00146,0.82639474,113.07956,-18.580042,13.0781
-16.92,-1.7302054,112.33788,-16.828552,-100.00459,0.81938827,112.33788,-18.558758,12.333296
-16.826666666667,-1.7144806,112.67524,-16.736856,-99.993904,0.82087296,112.67524,-18.451338,12.681341
-16.733333333333,-1.7056999,113.00768,-16.642246,-100.00933,0.82170326,113.00768,-18.347946,12.998351
-16.64,-1.7249539,112.97856,-16.547081,-100.00246,0.81988382,112.97856,-18.272034,12.976105
-16.546666666667,-1.7538917,112.62316,-16.456118,-100.01035,0.81715685,112.62316,-18.210009,12.612815
-16.453333333333,-1.7226098,112.62361,-16.361147,-100.00906,0.82010514,112.62361,-18.083757,12.61455
-16.36,-1.7753159,112.68579,-16.267231,-99.997749,0.8151437,112.68579,-18.042547,12.688045
-16.266666666667,-1.8542184,112.71065,-16.175116,-100.0042,0.80777258,112.71065,-18.029333,12.706456
-16.173333333333,-1.6902117,112.91003,-16.081516,-100.01475,0.82316983,112.91003,-17.771727,12.89528
-16.08,-1.7417376,112.76766,-15.988064,-100.01352,0.81830102,112.76766,-17.729801,12.754146
-15.986666666667,-1.7508682,113.01686,-15.896054,-100.00906,0.81744134,113.01686,-17.646921,13.007803
-15.893333333333,-1.7492642,112.59506,-15.801805,-100.00862,0.81759226,112.59506,-17.551069,12.586446
-15.8,-1.7137507,112.37847,-15.709052,-100.01525,0.82094198,112.37847,-17.422804,12.363216
-15.706666666667,-1.6628715,112.78007,-15.616503,-100.00884,0.82576489,112.78007,-17.279375,12.771232
-15.613333333333,-1.6753787,112.47983,-15.524284,-100.00638,0.82457668,112.47983,-17.199663,12.473452
-15.52,-1.6929753,112.98038,-15.428477,-100.00971,0.82290792,112.98038,-17.121452,12.970667
-15.426666666667,-1.6969564,112.6097,-15.33538,-100.00788,0.82253081,112.6097,-17.032337,12.601806
-15.333333333333,-1.7199014,112.6586,-15.242967,-100.01019,0.82036084,112.6586,-16.962868,12.648404
-15.24,-1.7435774,112.44721,-15.150062,-100.01135,0.81812775,112.44721,-16.893639,12.435859
-15.146666666667,-1.752194,112.67159,-15.055492,-100.00631,0.81731653,112.67159,-16.807686,12.665279
-15.053333333333,-1.7974155,112.49944,-14.961523,-100.0085,0.81307238,112.49944,-16.758938,12.490941
-14.96,-1.723788,112.34773,-14.870592,-100.00492,0.81999385,112.34773,-16.594379,12.342817
-14.866666666667,-1.7585489,112.67191,-14.777192,-100.01113,0.81671882,112.67191,-16.53574,12.660778
-14.773333333333,-1.7195514,112.53014,-14.685115,-100.00705,0.82039392,112.53014,-16.404665,12.523091
-14.68,-1.8161347,112.25926,-14.590138,-100.00415,0.81132203,112.25926,-16.406273,12.255114
-14.586666666667,-1.7472281,112.22365,-14.498333,-100.0125,0.81778395,112.22365,-16.24556,12.211161
-14.493333333333,-1.7193141,112.17879,-14.404515,-100.00719,0.82041633,112.17879,-16.123831,12.171607
-14.4,-1.7765728,112.61166,-14.308901,-100.01602,0.81502581,112.61166,-16.085474,12.595631
-14.306666666667,-1.7393774,112.42817,-14.217099,-100.00386,0.81852347,112.42817,-15.956476,12.424304
-14.213333333333,-1.7990514,112.30783,-14.123741,-100.01418,0.81291932,112.30783,-15.922792,12.293658
-14.12,-1.7611248,112.59543,-14.031057,-100.00231,0.81647664,112.59543,-15.792182,12.593121
-14.026666666667,-1.7236949,112.63016,-13.936815,-100.00665,0.82000262,112.63016,-15.66051,12.623511
-13.933333333333,-1.7654496,112.55601,-13.843765,-100.0125,0.8160702,112.55601,-15.609216,12.543505
-13.84,-1.7297405,112.1424,-13.749043,-100.00225,0.81943208,112.1424,-15.478783,12.140156
-13.746666666667,-1.7743868,112.22222,-13.658872,-100.00732,0.81523097,112.22222,-15.433259,12.214906
-13.653333333333,-1.7644566,112.4528,-13.564138,-100.01126,0.81616348,112.4528,-15.328595,12.441536
-13.56,-1.7337856,112.16569,-13.468942,-100.01781,0.81905061,112.16569,-15.202727,12.147872
-13.466666666667,-1.7706134,112.0556,-13.37332,-99.999519,0.8155852,112.0556,-15.143933,12.056078
-13.373333333333,-1.7741332,112.2924,-13.282004,-100.00697,0.81525475,112.2924,-15.056137,12.285417
-13.28,-1.7725667,112.28129,-13.1867,-100.00391,0.81540179,112.28129,-14.959268,12.277374
-13.186666666667,-1.7516624,112.44646,-13.095219,-100.01065,0.8173666,112.44646,-14.846882,12.435809
-13.093333333333,-1.7152168,112.11368,-13.00292,-100.0154,0.8208034,112.11368,-14.718137,12.098278
-13,-1.7358409,112.14512,-12.909618,-100.01256,0.81885678,112.14512,-14.64546,12.13256
-12.906666666667,-1.722096,112.12138,-12.814136,-100.01405,0.82015359,112.12138,-14.536232,12.107319
-12.813333333333,-1.7736963,111.98415,-12.722091,-100.01061,0.81529576,111.98415,-14.495788,11.973535
-12.72,-1.7394284,112.32026,-12.626977,-100.00677,0.81851864,112.32026,-14.366405,12.313498
-12.626666666667,-1.6888969,111.9779,-12.535018,-100.00979,0.82329434,111.9779,-14.223915,11.968108
-12.533333333333,-1.7596736,111.94928,-12.441831,-100.00914,0.81661308,111.94928,-14.201505,11.940138
-12.44,-1.7334669,111.97952,-12.348759,-100.00452,0.81908065,111.97952,-14.082226,11.975009
-12.346666666667,-1.7347705,111.81528,-12.254315,-100.00826,0.81895769,111.81528,-13.989085,11.807024
-12.253333333333,-1.7285178,111.89612,-12.16239,-100.00574,0.81954747,111.89612,-13.890907,11.89037
-12.16,-1.7282789,111.78844,-12.06723,-100.00955,0.81957,111.78844,-13.79551,11.778888
-12.066666666667,-1.7617811,111.94546,-11.97397,-100.01394,0.81641495,111.94546,-13.735751,11.931521
-11.973333333333,-1.7422417,112.10526,-11.882939,-100.01137,0.81825358,112.10526,-13.625182,12.093892
-11.88,-1.7320634,111.78934,-11.789991,-100.0064,0.81921297,111.78934,-13.522055,11.782942
-11.786666666667,-1.7347068,111.5906,-11.694983,-100.00698,0.81896371,111.5906,-13.429689,11.583619
-11.693333333333,-1.7348156,111.70323,-11.602905,-100.00945,0.81895339,111.70323,-13.337721,11.69377
-11.6,-1.7970456,111.78736,-11.509583,-100.00267,0.81310701,111.78736,-13.306629,11.784692
-11.506666666667,-1.7216438,111.84487,-11.415512,-100.00881,0.82019633,111.84487,-13.137156,11.836065
-11.413333333333,-1.7216799,111.86333,-11.321929,-100.00642,0.82019287,111.86333,-13.04361,11.856917
-11.32,-1.735234,111.46716,-11.229285,-100.00877,0.818914,111.46716,-12.96452,11.458381
-11.226666666667,-1.7413391,112.1136,-11.136459,-100.00679,0.81833863,112.1136,-12.877798,12.106809
-11.133333333333,-1.7460622,111.53259,-11.04318,-100.00233,0.8178938,111.53259,-12.789243,11.530253
-11.04,-1.7379172,111.68153,-10.95073,-100.00489,0.81866109,111.68153,-12.688648,11.676641
-10.946666666667,-1.7569107,111.43712,-10.85674,-100.00629,0.81687284,111.43712,-12.613651,11.430828
-10.853333333333,-1.710942,111.94272,-10.765958,-100.01502,0.82120746,111.94272,-12.4769,11.927699
-10.76,-1.7661486,111.67046,-10.67047,-100.00898,0.81600451,111.67046,-12.436619,11.661489
-10.666666666667,-1.760301,111.52065,-10.630105,-100.00569,0.81655407,111.52065,-12.390407,11.514959
-10.573333333333,-1.7184927,111.2364,-10.48489,-100.01128,0.82049394,111.2364,-12.203383,11.225113
-10.48,-1.7135607,111.40318,-10.444922,-100.00952,0.82095993,111.40318,-12.158483,11.39366
-10.386666666667,-1.7452573,111.26656,-10.298232,-100.00297,0.8179695,111.26656,-12.04349,11.263587
-10.293333333333,-1.745123,111.36181,-10.257265,-100.01008,0.8179822,111.36181,-12.002387,11.351736
-10.2,-1.753716,111.39383,-10.163675,-100.00507,0.81717336,111.39383,-11.917391,11.388752
-10.106666666667,-1.720413,111.25181,-10.072625,-100.00639,0.8203125,111.25181,-11.793038,11.245419
-10.013333333333,-1.7176892,111.56181,-9.9795685,-100.01094,0.82056987,111.56181,-11.697258,11.550878
-9.92,-1.726045,111.30981,-9.884944,-100.00748,0.81978083,111.30981,-11.61099,11.302337
-9.8266666666667,-1.7034063,111.45628,-9.7919636,-100.00735,0.82192022,111.45628,-11.49537,11.448937
-9.7333333333333,-1.7348149,111.30289,-9.698535,-100.00865,0.81895351,111.30289,-11.43335,11.294236
-9.64,-1.7247602,111.23812,-9.6061649,-100.01086,0.81990206,111.23812,-11.330925,11.227261
-9.5466666666667,-1.762629,110.83873,-9.5127554,-100.00656,0.81633526,110.83873,-11.275385,10.832179
-9.4533333333333,-1.7112069,111.0305,-9.4163485,-100.0105,0.82118243,111.0305,-11.127556,11.020005
-9.36,-1.7343509,110.96631,-9.325819,-100.01143,0.81899726,110.96631,-11.060169,10.954878
-9.2666666666667,-1.6933533,111.14931,-9.2320185,-100.00703,0.8228721,111.14931,-10.925372,11.142276
-9.1733333333333,-1.6845546,111.19326,-9.1383162,-100.01067,0.82370609,111.19326,-10.822871,11.182589
-9.08,-1.6974003,111.02177,-9.0470819,-100.00788,0.82248878,111.02177,-10.744482,11.013885
-8.9866666666667,-1.7196572,110.87885,-8.9514713,-100.00821,0.82038391,110.87885,-10.671128,10.870639
-8.8933333333333,-1.697328,110.70081,-8.8603592,-100.00803,0.82249564,110.70081,-10.557688,10.692779
-8.8,-1.6977011,110.94222,-8.7668858,-100.00386,0.82246035,110.94222,-10.464587,10.938365
-8.7066666666667,-1.694347,110.89699,-8.6734047,-100.00324,0.82277799,110.89699,-10.367752,10.893744
-8.6133333333333,-1.65165,110.76476,-8.5797548,-100.00755,0.82683241,110.76476,-10.231404,10.757217
-8.52,-1.6901692,110.71267,-8.4869223,-100.00836,0.82317382,110.71267,-10.177092,10.704304
-8.4266666666667,-1.6963274,110.88824,-8.3931122,-100.00653,0.82259041,110.88824,-10.089438,10.881703
-8.3333333333333,-1.6778971,110.69502,-8.3007116,-100.00836,0.82433766,110.69502,-9.9786091,10.686661
-8.24,-1.6947811,110.87685,-8.2076588,-100.00637,0.82273686,110.87685,-9.902441,10.870476
-8.1466666666667,-1.6519873,110.74157,-8.115118,-100.00787,0.82680035,110.74157,-9.7671051,10.733694
-8.0533333333333,-1.6736027,110.86538,-8.0227804,-100.0089,0.8247453,110.86538,-9.6963835,10.856484
-7.96,-1.6619283,110.63129,-7.9275994,-100.00895,0.82585454,110.63129,-9.5895281,10.622348
-7.8666666666667,-1.663165,110.50838,-7.8345733,-100.00509,0.825737,110.50838,-9.4977379,10.503287
-7.7733333333333,-1.6339113,110.54354,-7.7402406,-100.00548,0.82852274,110.54354,-9.3741522,10.53806
-7.68,-1.6336356,110.66659,-7.6488729,-100.00725,0.82854903,110.66659,-9.2825079,10.659332
-7.5866666666667,-1.6424485,110.45837,-7.5552278,-100.00578,0.82770884,110.45837,-9.1976767,10.452596
-7.4933333333333,-1.6372287,110.37265,-7.4610238,-100.00578,0.82820636,110.37265,-9.0982523,10.366859
-7.4,-1.6064522,110.45044,-7.3680687,-100.00497,0.83114612,110.45044,-8.9745197,10.445458
-7.3066666666667,-1.6345938,110.22493,-7.2733788,-100.00341,0.82845765,110.22493,-8.9079714,10.221519
-7.2133333333333,-1.6262392,110.40468,-7.1822996,-100.00611,0.82925487,110.40468,-8.8085394,10.398569
-7.12,-1.6034915,110.31303,-7.0882602,-99.999725,0.83142948,110.31303,-8.6917515,10.313299
-7.0266666666667,-1.5754411,110.34767,-6.993547,-100.00237,0.83411884,110.34767,-8.5689878,10.345304
-6.9333333333333,-1.5656147,110.24683,-6.9019585,-100.00202,0.83506304,110.24683,-8.4675732,10.244803
-6.84,-1.5726445,110.14984,-6.8099208,-100.00642,0.83438748,110.14984,-8.3825655,10.143418
-6.7466666666667,-1.6033664,110.17638,-6.7152061,-100.00158,0.83144146,110.17638,-8.318573,10.174799
-6.6533333333333,-1.5648226,110.20985,-6.6225162,-100.00387,0.83513921,110.20985,-8.1873388,10.205978
-6.56,-1.5905774,110.21006,-6.5281591,-100.00452,0.83266658,110.21006,-8.1187363,10.20554
-6.4666666666667,-1.5727727,110.06211,-6.4341979,-100.0054,0.83437514,110.06211,-8.0069704,10.056711
-6.3733333333333,-1.5372685,110.05704,-6.3412409,-100.00372,0.83779269,110.05704,-7.8785095,10.053325
-6.28,-1.5501081,110.07606,-6.2483983,-100.00327,0.83655518,110.07606,-7.7985067,10.072794
-6.1866666666667,-1.5257213,109.98574,-6.1545711,-100.00109,0.83890724,109.98574,-7.6802926,9.9846535
-6.0933333333333,-1.5016741,109.98367,-6.0617146,-100.00712,0.84123296,109.98367,-7.5633888,9.9765425
-6,-1.5086721,109.88492,-5.9684582,-100.00233,0.84055555,109.88492,-7.4771299,9.8825998
-5.9066666666667,-1.4683398,109.88952,-5.8769073,-100.00148,0.84446764,109.88952,-7.3452468,9.8880396
-5.8133333333333,-1.465143,109.81005,-5.7821054,-100.00381,0.84477848,109.81005,-7.2472491,9.8062458
-5.72,-1.4773172,109.93548,-5.6911144,-100.00472,0.84359527,109.93548,-7.1684318,9.9307566
-5.6266666666667,-1.4676567,109.61133,-5.5971007,-100.00188,0.8445341,109.61133,-7.0647573,9.6094494
-5.5333333333333,-1.4253405,109.65985,-5.5040245,-100.00001,0.8486585,109.65985,-6.9293647,9.6598377
-5.44,-1.4103628,109.62687,-5.4106498,-100.00244,0.85012317,109.62687,-6.821012,9.6244249
-5.3466666666667,-1.4078076,109.62859,-5.3170934,-100.00112,0.85037327,109.62859,-6.7249017,9.6274681
-5.2533333333333,-1.4224007,109.55349,-5.2243385,-100.00539,0.8489458,109.55349,-6.6467395,9.5480928
-5.16,-1.3882664,109.56216,-5.1307154,-100.00246,0.8522886,109.56216,-6.5189819,9.5596848
-5.0666666666667,-1.3622011,109.51179,-5.0349464,-100.00262,0.85485005,109.51179,-6.3971481,9.5091705
-4.9733333333333,-1.3345724,109.55143,-4.9439178,-99.99987,0.85757357,109.55143,-6.2784891,9.5515518
-4.88,-1.3222779,109.41676,-4.8507004,-100.00347,0.85878825,109.41676,-6.1729784,9.4132853
-4.7866666666667,-1.3268327,109.43946,-4.7561493,-100.00407,0.85833806,109.43946,-6.0829816,9.4353943
-4.6933333333333,-1.307503,109.3029,-4.6635957,-100.00201,0.86025035,109.3029,-5.9710975,9.3009005
-4.6,-1.2552937,109.25713,-4.5701952,-100.00224,0.86543673,109.25713,-5.825489,9.2549028
-4.5066666666667,-1.2562045,109.29057,-4.4779434,-100.00471,0.86534595,109.29057,-5.7341485,9.2858715
-4.4133333333333,-1.2388428,109.283,-4.3827686,-100.00207,0.86707735,109.283,-5.6216121,9.2809258
-4.32,-1.2266096,109.27614,-4.291369,-100.00095,0.86829948,109.27614,-5.5179787,9.2751846
-4.2266666666667,-1.194551,109.20416,-4.1959925,-100.00493,0.87151021,109.20416,-5.390543,9.1992321
-4.1333333333333,-1.1770256,109.10287,-4.1023974,-100.00246,0.87327039,109.10287,-5.2794228,9.1004028
-4.04,-1.1501455,109.23142,-4.0103784,-100.0011,0.87597704,109.23142,-5.1605239,9.2303257
-3.9466666666667,-1.1084216,109.05147,-3.917511,-100.00341,0.88019502,109.05147,-5.0259328,9.0480528
-3.8533333333333,-1.0704641,109.0494,-3.8249142,-100.00134,0.88404989,109.0494,-4.8953791,9.0480614
-3.76,-1.0632464,109.07256,-3.7309318,-100.00175,0.88478482,109.07256,-4.794178,9.0708237
-3.6666666666667,-1.0254499,108.96936,-3.6352909,-99.999489,0.88864332,108.96936,-4.6607413,8.9698677
-3.5733333333333,-1.0070482,108.93754,-3.5436823,-100.00108,0.89052802,108.93754,-4.5507307,8.9364672
-3.48,-0.985511,109.12499,-3.4505897,-99.999649,0.89273888,109.12499,-4.436101,9.1253424
-3.3866666666667,-0.94421417,108.8703,-3.3573296,-100.00326,0.89699346,108.8703,-4.3015432,8.8670406
-3.2933333333333,-0.91888636,108.91413,-3.2646329,-99.99968,0.89961296,108.91413,-4.1835184,8.9144459
-3.2,-0.87525922,108.85488,-3.1710732,-99.99659,0.9041428,108.85488,-4.0463328,8.8582973
-3.1066666666667,-0.8337217,108.77728,-3.0773253,-99.997307,0.90847695,108.77728,-3.9110465,8.7799702
-3.0133333333333,-0.79332376,108.76464,-2.9829569,-99.99749,0.9127121,108.76464,-3.7762809,8.7671471
-2.92,-0.75333071,108.56803,-2.8896542,-99.998787,0.91692424,108.56803,-3.6429846,8.5692425
-2.8266666666667,-0.69807458,108.67713,-2.7949378,-99.998512,0.92277598,108.67713,-3.4930122,8.6786156
-2.7333333333333,-0.63507909,108.55119,-2.705009,-99.998581,0.92949283,108.55119,-3.3400881,8.5526104
-2.64,-0.57441974,108.57581,-2.6106985,-99.997559,0.93600678,108.57581,-3.1851187,8.5782566
-2.5466666666667,-0.54889518,108.41621,-2.5175369,-100.0005,0.93876141,108.41621,-3.066432,8.4157009
-2.4533333333333,-0.47571838,108.23116,-2.4235988,-99.998528,0.94670373,108.23116,-2.8993173,8.2326374
-2.36,-0.40012938,108.19416,-2.3303638,-99.999588,0.95497835,108.19416,-2.7304931,8.1945715
-2.2666666666667,-0.3320131,107.84841,-2.235918,-99.996727,0.96249694,107.84841,-2.5679317,7.8516831
-2.1733333333333,-0.24430597,107.72342,-2.1452539,-99.999931,0.97226512,107.72342,-2.38956,7.7234883
-2.08,-0.087987192,106.93856,-2.0500834,-99.995369,0.98992121,106.93856,-2.1380715,6.9431925
-1.9866666666667,-0.016097477,106.55962,-1.9565977,-99.998062,0.99814844,106.55962,-1.972695,6.5615597
-1.8933333333333,-0.026581423,106.63173,-1.8632607,-99.99733,0.99694437,106.63173,-1.8898422,6.6343989
-1.8,-0.057178143,106.73213,-1.7680255,-99.994652,0.99343878,106.73213,-1.8252041,6.7374806
-1.7066666666667,-0.034086749,106.92717,-1.6760114,-99.997894,0.99608332,106.92717,-1.7100987,6.9292841
-1.6133333333333,-0.049893897,106.92537,-1.5814413,-99.997696,0.99427223,106.92537,-1.6313357,6.9276819
-1.52,-0.067954585,107.07858,-1.4884435,-99.998314,0.99220693,107.07858,-1.5563983,7.080267
-1.4266666666667,-0.085163474,107.17234,-1.3956798,-99.998032,0.99024308,107.17234,-1.4808433,7.1743059
-1.3333333333333,-0.088194825,107.26923,-1.3013914,-99.997292,0.98989761,107.26923,-1.3895863,7.2719464
-1.24,-0.10659543,107.33563,-1.2085291,-99.996857,0.98780274,107.33563,-1.315124,7.3387685
-1.1466666666667,-0.12455777,107.44661,-1.1159449,-99.996254,0.98576212,107.44661,-1.2405027,7.4503613
-1.0533333333333,-0.14132962,107.41576,-1.0222135,-99.997688,0.98386049,107.41576,-1.1635424,7.4180779
-0.96,-0.15393171,107.64173,-0.9278326,-99.997444,0.98243403,107.64173,-1.0817647,7.6442924
-0.86666666666667,-0.16982096,107.74648,-0.83561212,-99.996887,0.9806385,107.74648,-1.0054327,7.7495952
-0.77333333333333,-0.1950676,107.80262,-0.74054223,-99.996201,0.97779232,107.80262,-0.93560916,7.8064246
-0.68,-0.20044291,107.80057,-0.64832151,-99.996918,0.9771874,107.80057,-0.84876406,7.8036489
-0.58666666666667,-0.2036638,108.02151,-0.55451,-99.999001,0.97682506,108.02151,-0.75817412,8.0225182
-0.49333333333333,-0.22657117,108.05903,-0.46265739,-99.9991,0.97425228,108.05903,-0.68922871,8.0599375
-0.4,-0.26000527,108.26316,-0.36805865,-99.995529,0.97050941,108.26316,-0.62806374,8.2676306
-0.30666666666666,-0.255566,108.28005,-0.27423978,-99.995598,0.9710055,108.28005,-0.52980602,8.2844582
-0.21333333333333,-0.28012931,108.395,-0.18099697,-99.998726,0.96826345,108.395,-0.46112686,8.3962698
-0.12,-0.30269274,108.40464,-0.087594941,-99.994164,0.96575141,108.40464,-0.39028752,8.4104729
-0.026666666666667,-0.31548113,108.60813,0.0055877729,-99.995049,0.96433061,108.60813,-0.30989379,8.6130772
0.066666666666666,-0.3289704,108.67403,0.099566504,-99.995956,0.96283412,108.67403,-0.22940406,8.6780767
0.16,-0.35888824,108.68491,0.1913376,-99.992943,0.95952344,108.68491,-0.16755101,8.6919632
0.25333333333333,-0.36290759,108.86326,0.28605071,-99.993187,0.9590795,108.86326,-0.076856926,8.8700743
0.34666666666667,-0.39011788,108.89189,0.37670624,-99.99379,0.95607972,108.89189,-0.013411758,8.8980989
0.44,-0.40976006,108.98574,0.46936435,-99.996239,0.95392013,108.98574,0.059604172,8.989502
0.53333333333333,-0.43054864,108.95176,0.56245524,-99.995125,0.95163971,108.95176,0.13190626,8.9566288
0.62666666666667,-0.46170494,109.08298,0.65584785,-99.996872,0.94823229,109.08298,0.19414268,9.0861063
0.72,-0.47901139,109.08932,0.74808669,-99.996513,0.94634485,109.08932,0.26907521,9.0928125
0.81333333333333,-0.50881624,109.08885,0.84107834,-99.997116,0.94310313,109.08885,0.33226275,9.0917416
0.90666666666667,-0.53021955,109.15981,0.93562371,-99.995064,0.94078207,109.15981,0.405404,9.1647501
1,-0.54640561,109.19451,1.0288687,-99.996384,0.93903053,109.19451,0.48246306,9.1981258
1.0933333333333,-0.57342976,109.26197,1.1204834,-99.996033,0.93611354,109.26197,0.54705429,9.2659349
1.1866666666667,-0.60226512,109.23199,1.21425,-99.994118,0.93301094,109.23199,0.61198467,9.2378731
1.28,-0.63016087,109.22758,1.3080963,-99.997559,0.93001926,109.22758,0.6779353,9.2300205
1.3733333333333,-0.66543072,109.26871,1.4012673,-99.996872,0.92625052,109.26871,0.73583657,9.2718372
1.4666666666667,-0.68967742,109.25681,1.4961786,-99.994133,0.9236685,109.25681,0.80650181,9.2626753
1.56,-0.72455102,109.28488,1.58848,-99.996162,0.91996741,109.28488,0.86392897,9.2887154
1.6533333333333,-0.76712364,109.25009,1.6826774,-99.999008,0.91546935,109.25009,0.91555357,9.2510824
1.7466666666667,-0.79526663,109.22869,1.7754369,-99.995178,0.91250795,109.22869,0.98016977,9.233511
1.84,-0.83961087,109.17247,1.8702995,-99.997604,0.90786123,109.17247,1.0306879,9.1748686
1.9333333333333,-0.87986076,109.12887,1.961167,-99.999855,0.90366393,109.12887,1.0813065,9.1290121
2.0266666666667,-0.92498928,109.08687,2.0558102,-99.997704,0.89898103,109.08687,1.1308208,9.0891562
2.12,-0.9666115,108.97359,2.1492064,-99.996964,0.89468348,108.97359,1.1825955,8.9766235
2.2133333333333,-1.0022033,108.85509,2.2423983,-99.996819,0.89102489,108.85509,1.2401943,8.8582811
2.3066666666667,-1.051855,108.75441,2.3358305,-99.996841,0.88594598,108.75441,1.2839752,8.757576
2.4,-1.1003947,108.66234,2.4301705,-99.998848,0.88100886,108.66234,1.3297758,8.6634951
2.4933333333333,-1.1482666,108.60893,2.5215504,-99.997757,0.87616658,108.60893,1.3732833,8.6111717
2.5866666666667,-1.1947697,108.45214,2.6158006,-99.998611,0.87148821,108.45214,1.4210306,8.4535332
2.68,-1.2582508,108.23457,2.709121,-99.998016,0.86514211,108.23457,1.4508698,8.2365551
2.7733333333333,-1.3189887,108.11977,2.8024888,-99.996445,0.85911351,108.11977,1.4835005,8.1233263
2.8666666666667,-1.3734131,107.97626,2.8971016,-99.99791,0.85374731,107.97626,1.5236887,7.9783449
2.96,-1.4294726,107.75602,2.9903498,-99.999268,0.84825486,107.75602,1.5608763,7.7567635
3.0533333333333,-1.4870003,107.54493,3.0827303,-99.997765,0.84265536,107.54493,1.5957301,7.5471621
3.1466666666667,-1.5515698,107.26197,3.1759095,-99.99617,0.8364144,107.26197,1.6243399,7.2657967
3.24,-1.6160775,107.09917,3.2702746,-99.994926,0.83022559,107.09917,1.6541969,7.1042418
3.3333333333333,-1.670887,106.92609,3.3633246,-99.997322,0.82500321,106.92609,1.6924376,6.9287682
3.4266666666667,-1.7500954,106.65349,3.4568999,-99.996559,0.81751406,106.65349,1.7068045,6.6569295
