!CSV A.01.01
!Keysight Technologies,N5245B,MY63058204,A.19.30.04
!Date: Friday, March, 20, 2026 10:22:06
!Source: IMD Sweep Data

"Calibration State:","ON",,,,,,,,
"Sweep Type","Sweep fc",,,,,,,,
"Start fc",27200000000.000000,,,,,,,,
"Stop fc",31300000000.000000,,,,,,,,
"DeltaF",1000000.000000,,,,,,,,
"Number Of Points",411,,,,,,,,
"Main Tone IFBW",300.000000,,,,,,,,
"IM Tone IFBW",1000.000000,,,,,,,,
"f1 Power",-10.000000,,,,,,,,
"f2 Power",-10.000000,,,,,,,,
"Number Of Tones Measured",12,,,,,,,,

FrequencyFC,FrequencyF1,FrequencyF2,PwrMain,PwrMainLo,PwrMainHi,PwrMainIn,PwrMainLoIn,PwrMainHiIn,Pwr3,Pwr3Lo,Pwr3Hi,Pwr3In,Pwr3LoIn,Pwr3HiIn,
2.736e+10,2.73595e+10,2.73605e+10,-13.558,-13.5907,-13.5253,-10.1839,-10.1862,-10.1817,-48.9587,-49.4836,-48.4338,-80.2773,-83.0437,-77.5109,
2.737e+10,2.73695e+10,2.73705e+10,-13.1779,-13.2164,-13.1394,-10.2065,-10.2153,-10.1978,-48.0721,-48.4177,-47.7264,-85.8853,-84.6381,-87.1326,
2.738e+10,2.73795e+10,2.73805e+10,-13.1523,-13.1547,-13.1498,-10.2238,-10.2377,-10.2099,-47.8543,-47.9157,-47.7929,-88.6718,-90.0831,-87.2604,
2.739e+10,2.73895e+10,2.73905e+10,-13.1209,-13.1405,-13.1013,-10.2372,-10.2512,-10.2232,-47.5573,-48.0078,-47.1069,-84.9295,-91.9169,-77.9421,
2.74e+10,2.73995e+10,2.74005e+10,-12.8966,-12.9139,-12.8794,-10.244,-10.2554,-10.2327,-47.0439,-47.3611,-46.7267,-88.385,-90.2818,-86.4883,
2.741e+10,2.74095e+10,2.74105e+10,-12.6572,-12.6762,-12.6382,-10.2392,-10.2466,-10.2319,-46.3617,-46.7266,-45.9968,-83.6555,-88.9209,-78.3901,
2.742e+10,2.74195e+10,2.74205e+10,-12.5674,-12.5711,-12.5637,-10.2298,-10.2318,-10.2277,-46.1501,-46.4174,-45.8828,-81.854,-84.5653,-79.1426,
2.743e+10,2.74295e+10,2.74305e+10,-12.4925,-12.486,-12.499,-10.2147,-10.2142,-10.2152,-45.8608,-46.0765,-45.645,-79.4057,-79.7432,-79.0682,
2.744e+10,2.74395e+10,2.74405e+10,-12.4115,-12.404,-12.419,-10.2006,-10.1943,-10.2069,-45.1605,-45.1985,-45.1226,-83.7391,-86.0717,-81.4065,
2.745e+10,2.74495e+10,2.74505e+10,-12.2738,-12.2741,-12.2735,-10.196,-10.1905,-10.2015,-44.8646,-44.8322,-44.8971,-87.2494,-90.4679,-84.0309,
2.746e+10,2.74595e+10,2.74605e+10,-12.201,-12.2173,-12.1848,-10.2014,-10.2002,-10.2027,-44.4774,-44.6037,-44.3511,-81.9545,-85.0137,-78.8954,
2.747e+10,2.74695e+10,2.74705e+10,-12.1112,-12.1216,-12.1008,-10.2119,-10.2186,-10.2051,-44.5334,-44.6276,-44.4392,-87.845,-92.521,-83.1689,
2.748e+10,2.74795e+10,2.74805e+10,-12.097,-12.0954,-12.0987,-10.2159,-10.2257,-10.2061,-44.7779,-44.7186,-44.8373,-82.3942,-85.5609,-79.2276,
2.749e+10,2.74895e+10,2.74905e+10,-12.1397,-12.1458,-12.1336,-10.2074,-10.2143,-10.2006,-44.6467,-44.7274,-44.566,-80.7998,-79.8982,-81.7015,
2.75e+10,2.74995e+10,2.75005e+10,-12.1316,-12.1344,-12.1287,-10.195,-10.1969,-10.1931,-44.8368,-44.9401,-44.7335,-82.943,-86.068,-79.8181,
2.751e+10,2.75095e+10,2.75105e+10,-12.0948,-12.0949,-12.0946,-10.1914,-10.187,-10.1959,-45.1414,-45.2451,-45.0376,-84.2666,-89.9915,-78.5418,
2.752e+10,2.75195e+10,2.75205e+10,-12.1409,-12.143,-12.1388,-10.2049,-10.1994,-10.2104,-45.0154,-45.0853,-44.9456,-81.2736,-82.1356,-80.4116,
2.753e+10,2.75295e+10,2.75305e+10,-12.2331,-12.2319,-12.2343,-10.2247,-10.2232,-10.2262,-45.1397,-45.2988,-44.9806,-83.9994,-86.5302,-81.4685,
2.754e+10,2.75395e+10,2.75405e+10,-12.235,-12.2358,-12.2343,-10.238,-10.2394,-10.2365,-45.4737,-46.0036,-44.9437,-81.0196,-84.8629,-77.1764,
2.755e+10,2.75495e+10,2.75505e+10,-12.1893,-12.1956,-12.1829,-10.2335,-10.2378,-10.2292,-45.8636,-45.7741,-45.9531,-90.5226,-91.6784,-89.3667,
2.756e+10,2.75595e+10,2.75605e+10,-12.1609,-12.1711,-12.1508,-10.212,-10.2162,-10.2079,-45.6833,-45.8248,-45.5418,-87.0893,-78.9018,-95.2768,
2.757e+10,2.75695e+10,2.75705e+10,-12.1365,-12.1385,-12.1344,-10.1891,-10.1924,-10.1858,-46.134,-46.3487,-45.9192,-82.4256,-77.643,-87.2083,
2.758e+10,2.75795e+10,2.75805e+10,-12.2117,-12.2071,-12.2163,-10.187,-10.1905,-10.1834,-46.2888,-46.4897,-46.0879,-81.1084,-82.3523,-79.8644,
2.759e+10,2.75895e+10,2.75905e+10,-12.3334,-12.3214,-12.3455,-10.1888,-10.1929,-10.1846,-46.5886,-46.531,-46.6462,-79.1617,-79.6612,-78.6623,
2.76e+10,2.75995e+10,2.76005e+10,-12.3431,-12.3562,-12.3301,-10.1926,-10.2008,-10.1844,-46.7665,-46.6491,-46.8839,-87.459,-96.4834,-78.4345,
2.761e+10,2.76095e+10,2.76105e+10,-12.2905,-12.3011,-12.2799,-10.1957,-10.2066,-10.1849,-46.7524,-46.9002,-46.6046,-87.6424,-88.7363,-86.5485,
2.762e+10,2.76195e+10,2.76205e+10,-12.333,-12.3481,-12.318,-10.2202,-10.2278,-10.2127,-47.089,-47.3333,-46.8448,-89.7811,-90.4477,-89.1145,
2.763e+10,2.76295e+10,2.76305e+10,-12.4166,-12.4132,-12.42,-10.2605,-10.263,-10.258,-47.4029,-47.5466,-47.2591,-92.4457,-88.4967,-96.3947,
2.764e+10,2.76395e+10,2.76405e+10,-12.5034,-12.4996,-12.5073,-10.2848,-10.2809,-10.2887,-47.9706,-48.4723,-47.4688,-81.8727,-84.9573,-78.7881,
2.765e+10,2.76495e+10,2.76505e+10,-12.6023,-12.5926,-12.612,-10.2652,-10.2562,-10.2741,-48.0937,-48.4365,-47.7509,-82.6379,-83.5894,-81.6864,
2.766e+10,2.76595e+10,2.76605e+10,-12.5868,-12.5723,-12.6014,-10.2152,-10.2027,-10.2277,-47.8232,-48.0929,-47.5535,-81.3388,-80.2273,-82.4504,
2.767e+10,2.76695e+10,2.76705e+10,-12.4714,-12.465,-12.4778,-10.1744,-10.1623,-10.1866,-48.2043,-48.6555,-47.7531,-84.407,-88.6308,-80.1832,
2.768e+10,2.76795e+10,2.76805e+10,-12.4332,-12.4275,-12.4389,-10.1713,-10.1661,-10.1765,-47.7267,-48.0326,-47.4209,-86.8598,-94.8013,-78.9183,
2.769e+10,2.76895e+10,2.76905e+10,-12.4288,-12.4252,-12.4323,-10.1919,-10.1987,-10.1851,-47.6613,-47.7917,-47.5309,-80.9408,-85.9334,-75.9482,
2.77e+10,2.76995e+10,2.77005e+10,-12.4171,-12.4288,-12.4053,-10.2006,-10.2129,-10.1883,-47.5566,-47.7661,-47.3471,-82.3938,-86.3931,-78.3945,
2.771e+10,2.77095e+10,2.77105e+10,-12.3709,-12.3847,-12.3572,-10.1913,-10.2038,-10.1789,-47.4129,-47.9121,-46.9137,-79.2584,-80.652,-77.8647,
2.772e+10,2.77195e+10,2.77205e+10,-12.3898,-12.4004,-12.3793,-10.2031,-10.2092,-10.1969,-47.9243,-48.0534,-47.7951,-82.3886,-80.2723,-84.505,
2.773e+10,2.77295e+10,2.77305e+10,-12.5263,-12.5201,-12.5326,-10.2387,-10.2374,-10.24,-47.7642,-47.7507,-47.7777,-82.1033,-77.2457,-86.961,
2.774e+10,2.77395e+10,2.77405e+10,-12.6469,-12.6464,-12.6473,-10.2633,-10.2582,-10.2684,-48.0012,-47.9277,-48.0748,-85.9741,-83.0452,-88.9029,
2.775e+10,2.77495e+10,2.77505e+10,-12.6739,-12.6671,-12.6808,-10.251,-10.2473,-10.2547,-48.4608,-48.5311,-48.3905,-83.4911,-86.3239,-80.6583,
2.776e+10,2.77595e+10,2.77605e+10,-12.6112,-12.6159,-12.6065,-10.2114,-10.2125,-10.2103,-48.1339,-48.1701,-48.0977,-84.0701,-82.4239,-85.7164,
2.777e+10,2.77695e+10,2.77705e+10,-12.5239,-12.5466,-12.5011,-10.1812,-10.1861,-10.1763,-47.6557,-47.8144,-47.4969,-82.9649,-86.2819,-79.6479,
2.778e+10,2.77795e+10,2.77805e+10,-12.4893,-12.4977,-12.481,-10.1981,-10.2065,-10.1898,-47.5674,-47.7528,-47.3821,-81.0321,-86.1428,-75.9214,
2.779e+10,2.77895e+10,2.77905e+10,-12.4903,-12.4865,-12.4942,-10.2389,-10.2476,-10.2302,-47.4039,-47.7329,-47.0749,-79.4141,-78.4525,-80.3757,
2.78e+10,2.77995e+10,2.78005e+10,-12.4514,-12.4646,-12.4383,-10.237,-10.2392,-10.2348,-47.1892,-47.5197,-46.8586,-85.249,-80.6997,-89.7982,
2.781e+10,2.78095e+10,2.78105e+10,-12.3052,-12.3039,-12.3065,-10.2098,-10.2061,-10.2134,-46.3955,-46.7374,-46.0536,-79.0175,-80.6792,-77.3557,
2.782e+10,2.78195e+10,2.78205e+10,-12.268,-12.2506,-12.2855,-10.1882,-10.1829,-10.1936,-46.8173,-47.0529,-46.5817,-87.1652,-91.3849,-82.9455,
2.783e+10,2.78295e+10,2.78305e+10,-12.4095,-12.3989,-12.4201,-10.1894,-10.1885,-10.1904,-46.7587,-46.7671,-46.7504,-86.8457,-92.9518,-80.7396,
2.784e+10,2.78395e+10,2.78405e+10,-12.4709,-12.4808,-12.4611,-10.1982,-10.2019,-10.1944,-46.6928,-46.92,-46.4656,-83.2183,-83.2559,-83.1807,
2.785e+10,2.78495e+10,2.78505e+10,-12.3916,-12.4067,-12.3765,-10.1992,-10.2095,-10.1889,-46.5938,-46.5933,-46.5944,-88.431,-84.1959,-92.666,
2.786e+10,2.78595e+10,2.78605e+10,-12.2759,-12.2984,-12.2534,-10.1929,-10.2022,-10.1835,-46.4666,-46.5004,-46.4329,-80.215,-81.0058,-79.4242,
2.787e+10,2.78695e+10,2.78705e+10,-12.149,-12.1599,-12.1381,-10.2054,-10.2071,-10.2037,-46.2535,-46.2027,-46.3043,-78.5935,-80.2156,-76.9714,
2.788e+10,2.78795e+10,2.78805e+10,-12.2454,-12.2311,-12.2596,-10.2363,-10.228,-10.2446,-45.8939,-45.8102,-45.9777,-79.1755,-78.7285,-79.6226,
2.789e+10,2.78895e+10,2.78905e+10,-12.4385,-12.413,-12.464,-10.259,-10.2441,-10.2739,-46.472,-46.8503,-46.0937,-79.4358,-79.2849,-79.5866,
2.79e+10,2.78995e+10,2.79005e+10,-12.4151,-12.4023,-12.4278,-10.2578,-10.2408,-10.2748,-46.4295,-46.4941,-46.3649,-85.9107,-79.4551,-92.3664,
2.791e+10,2.79095e+10,2.79105e+10,-12.2712,-12.2635,-12.2789,-10.2279,-10.2187,-10.2371,-46.1627,-46.2862,-46.0392,-79.525,-81.4424,-77.6077,
2.792e+10,2.79195e+10,2.79205e+10,-12.1845,-12.2004,-12.1687,-10.1853,-10.1917,-10.1789,-45.9449,-46.2548,-45.635,-79.4501,-80.9486,-77.9517,
2.793e+10,2.79295e+10,2.79305e+10,-12.0491,-12.0782,-12.0199,-10.1597,-10.1804,-10.1389,-45.5618,-45.5701,-45.5534,-78.0791,-77.0539,-79.1042,
2.794e+10,2.79395e+10,2.79405e+10,-12.0218,-12.0445,-11.999,-10.1702,-10.1939,-10.1465,-45.7699,-45.9513,-45.5885,-79.3349,-75.9591,-82.7107,
2.795e+10,2.79495e+10,2.79505e+10,-12.1992,-12.2107,-12.1876,-10.1979,-10.2162,-10.1796,-45.9261,-46.1502,-45.702,-77.6538,-76.6535,-78.6541,
2.796e+10,2.79595e+10,2.79605e+10,-12.2497,-12.2709,-12.2284,-10.2309,-10.2368,-10.225,-46.231,-46.4895,-45.9725,-80.114,-78.1932,-82.0348,
2.797e+10,2.79695e+10,2.79705e+10,-12.1201,-12.111,-12.1292,-10.2505,-10.2435,-10.2575,-46.1695,-46.2228,-46.1163,-82.6317,-77.0034,-88.26,
2.798e+10,2.79795e+10,2.79805e+10,-12.1415,-12.1271,-12.156,-10.2357,-10.2233,-10.2481,-46.4288,-46.6186,-46.239,-77.8928,-79.4094,-76.3762,
2.799e+10,2.79895e+10,2.79905e+10,-12.2837,-12.2722,-12.2953,-10.2112,-10.2001,-10.2223,-46.8681,-47.2213,-46.5149,-78.0625,-78.4372,-77.6877,
2.8e+10,2.79995e+10,2.80005e+10,-12.3366,-12.3309,-12.3422,-10.2004,-10.197,-10.2038,-46.8759,-46.9649,-46.787,-77.6446,-76.7461,-78.5432,
2.801e+10,2.80095e+10,2.80105e+10,-12.2336,-12.2604,-12.2068,-10.1973,-10.2073,-10.1873,-46.8275,-47.3483,-46.3067,-76.0654,-74.149,-77.9818,
2.802e+10,2.80195e+10,2.80205e+10,-12.187,-12.2069,-12.1672,-10.1975,-10.2104,-10.1847,-46.7377,-47.1176,-46.3577,-82.009,-77.0282,-86.9899,
2.803e+10,2.80295e+10,2.80305e+10,-12.2599,-12.2573,-12.2624,-10.2068,-10.2133,-10.2003,-47.0506,-47.266,-46.8352,-76.675,-74.8696,-78.4805,
2.804e+10,2.80395e+10,2.80405e+10,-12.3044,-12.3042,-12.3045,-10.2139,-10.2084,-10.2194,-47.1579,-47.6308,-46.6851,-79.5153,-77.269,-81.7616,
2.805e+10,2.80495e+10,2.80505e+10,-12.21,-12.1963,-12.2237,-10.2177,-10.2059,-10.2294,-46.978,-47.3072,-46.6487,-78.8008,-77.4321,-80.1696,
2.806e+10,2.80595e+10,2.80605e+10,-12.203,-12.1925,-12.2134,-10.2177,-10.2061,-10.2294,-46.9462,-46.7811,-47.1113,-80.1865,-81.5034,-78.8697,
2.807e+10,2.80695e+10,2.80705e+10,-12.3873,-12.3753,-12.3994,-10.2092,-10.2078,-10.2105,-47.3377,-47.4478,-47.2276,-85.6687,-92.1941,-79.1432,
2.808e+10,2.80795e+10,2.80805e+10,-12.4822,-12.4904,-12.4739,-10.1874,-10.1946,-10.1802,-48.0748,-48.274,-47.8755,-83.913,-79.9775,-87.8485,
2.809e+10,2.80895e+10,2.80905e+10,-12.5032,-12.5098,-12.4967,-10.1741,-10.1864,-10.1618,-48.0741,-48.3386,-47.8096,-81.817,-80.0113,-83.6227,
2.81e+10,2.80995e+10,2.81005e+10,-12.4272,-12.4462,-12.4082,-10.1943,-10.2035,-10.185,-47.9584,-48.2287,-47.6882,-81.4482,-76.6092,-86.2872,
2.811e+10,2.81095e+10,2.81105e+10,-12.348,-12.3442,-12.3518,-10.2404,-10.2405,-10.2403,-47.8556,-47.9683,-47.743,-86.1444,-78.1063,-94.1826,
2.812e+10,2.81195e+10,2.81205e+10,-12.4509,-12.4337,-12.4681,-10.2665,-10.2585,-10.2746,-47.8314,-47.8469,-47.8159,-81.5284,-77.3129,-85.7439,
2.813e+10,2.81295e+10,2.81305e+10,-12.6024,-12.5809,-12.624,-10.2473,-10.2354,-10.2592,-48.4994,-48.5221,-48.4767,-80.5586,-77.9092,-83.2079,
2.814e+10,2.81395e+10,2.81405e+10,-12.6056,-12.595,-12.6161,-10.21,-10.2015,-10.2185,-48.7463,-48.7978,-48.6949,-84.3349,-80.8463,-87.8236,
2.815e+10,2.81495e+10,2.81505e+10,-12.6331,-12.6271,-12.639,-10.1825,-10.1804,-10.1846,-48.7593,-48.7407,-48.7778,-81.2933,-79.9136,-82.673,
2.816e+10,2.81595e+10,2.81605e+10,-12.5952,-12.6156,-12.5748,-10.1762,-10.1881,-10.1643,-48.5852,-48.7535,-48.4169,-78.1932,-77.5424,-78.844,
2.817e+10,2.81695e+10,2.81705e+10,-12.4833,-12.5003,-12.4662,-10.1875,-10.2088,-10.1662,-48.7799,-49.3213,-48.2385,-76.1478,-75.6048,-76.6908,
2.818e+10,2.81795e+10,2.81805e+10,-12.4976,-12.5266,-12.4685,-10.1845,-10.2071,-10.1619,-48.9172,-49.6495,-48.1848,-79.0583,-75.8812,-82.2355,
2.819e+10,2.81895e+10,2.81905e+10,-12.5611,-12.5712,-12.551,-10.1815,-10.198,-10.1651,-47.8271,-47.7922,-47.8621,-81.4792,-74.306,-88.6524,
2.82e+10,2.81995e+10,2.82005e+10,-12.5273,-12.5408,-12.5137,-10.2134,-10.2138,-10.2131,-47.8712,-48.3093,-47.4331,-80.7691,-79.8284,-81.7097,
2.821e+10,2.82095e+10,2.82105e+10,-12.5314,-12.5143,-12.5485,-10.2689,-10.2561,-10.2816,-48.1063,-48.1538,-48.0588,-79.6947,-79.708,-79.6814,
2.822e+10,2.82195e+10,2.82205e+10,-12.6094,-12.5933,-12.6255,-10.2889,-10.2748,-10.303,-48.152,-48.4193,-47.8848,-81.5502,-80.814,-82.2865,
2.823e+10,2.82295e+10,2.82305e+10,-12.6254,-12.6103,-12.6404,-10.252,-10.2426,-10.2615,-48.2583,-48.2156,-48.301,-79.9526,-78.0755,-81.8298,
2.824e+10,2.82395e+10,2.82405e+10,-12.6805,-12.6739,-12.6871,-10.1908,-10.1906,-10.1909,-48.4628,-48.7447,-48.1809,-78.1076,-79.6848,-76.5304,
2.825e+10,2.82495e+10,2.82505e+10,-12.7157,-12.7138,-12.7176,-10.1566,-10.1642,-10.1489,-48.2387,-48.5335,-47.9438,-79.6428,-76.3359,-82.9498,
2.826e+10,2.82595e+10,2.82605e+10,-12.6625,-12.6882,-12.6368,-10.1728,-10.1843,-10.1612,-48.0269,-48.39,-47.6637,-86.0448,-78.8755,-93.2141,
2.827e+10,2.82695e+10,2.82705e+10,-12.5894,-12.5979,-12.581,-10.2029,-10.2129,-10.1928,-47.5165,-47.6136,-47.4194,-78.6167,-77.1187,-80.1147,
2.828e+10,2.82795e+10,2.82805e+10,-12.6523,-12.651,-12.6536,-10.2033,-10.2085,-10.1982,-47.3445,-47.3074,-47.3817,-82.874,-79.8936,-85.8545,
2.829e+10,2.82895e+10,2.82905e+10,-12.6742,-12.6722,-12.6762,-10.1966,-10.1943,-10.1989,-47.2897,-47.3945,-47.1849,-81.892,-78.9655,-84.8185,
2.83e+10,2.82995e+10,2.83005e+10,-12.6756,-12.6653,-12.6859,-10.2055,-10.1989,-10.2122,-47.0517,-47.0583,-47.0451,-85.3318,-84.5704,-86.0931,
2.831e+10,2.83095e+10,2.83105e+10,-12.7218,-12.722,-12.7217,-10.225,-10.2221,-10.228,-47.4899,-47.3074,-47.6724,-87.2848,-82.5701,-91.9995,
2.832e+10,2.83195e+10,2.83205e+10,-12.8163,-12.8162,-12.8164,-10.2399,-10.2439,-10.236,-47.7645,-47.7121,-47.8169,-81.8325,-79.383,-84.2821,
2.833e+10,2.83295e+10,2.83305e+10,-12.9455,-12.9565,-12.9345,-10.2266,-10.2382,-10.2149,-47.8943,-48.2955,-47.493,-78.2444,-77.1477,-79.341,
2.834e+10,2.83395e+10,2.83405e+10,-12.9213,-12.9395,-12.9031,-10.1965,-10.2059,-10.1871,-47.2725,-47.8554,-46.6895,-76.4514,-77.805,-75.0977,
2.835e+10,2.83495e+10,2.83505e+10,-12.7743,-12.7875,-12.7611,-10.2052,-10.2059,-10.2046,-47.3188,-47.6965,-46.9411,-79.5174,-80.1066,-78.9282,
2.836e+10,2.83595e+10,2.83605e+10,-12.7858,-12.7711,-12.8004,-10.2377,-10.2302,-10.2453,-47.2861,-47.3982,-47.174,-79.3725,-80.178,-78.5669,
2.837e+10,2.83695e+10,2.83705e+10,-12.9734,-12.9489,-12.9979,-10.2461,-10.2369,-10.2553,-47.4951,-47.7976,-47.1926,-81.4387,-81.6471,-81.2303,
2.838e+10,2.83795e+10,2.83805e+10,-13.1189,-13.1088,-13.129,-10.2285,-10.222,-10.235,-47.5415,-47.8403,-47.2427,-83.854,-87.1793,-80.5287,
2.839e+10,2.83895e+10,2.83905e+10,-13.0996,-13.0968,-13.1024,-10.1908,-10.194,-10.1875,-47.629,-47.4373,-47.8206,-83.5654,-79.9493,-87.1815,
2.84e+10,2.83995e+10,2.84005e+10,-12.9394,-12.9596,-12.9191,-10.15,-10.1608,-10.1392,-47.7523,-47.8721,-47.6326,-78.6735,-75.6353,-81.7117,
2.841e+10,2.84095e+10,2.84105e+10,-12.7893,-12.8172,-12.7615,-10.1434,-10.1514,-10.1354,-47.5325,-47.361,-47.704,-76.1217,-76.7081,-75.5354,
2.842e+10,2.84195e+10,2.84205e+10,-12.822,-12.8221,-12.8219,-10.1769,-10.1841,-10.1697,-47.4325,-47.2421,-47.6229,-80.6652,-78.992,-82.3385,
2.843e+10,2.84295e+10,2.84305e+10,-12.8889,-12.8986,-12.8792,-10.2246,-10.2273,-10.2219,-47.1907,-47.3845,-46.9969,-77.4524,-79.2878,-75.617,
2.844e+10,2.84395e+10,2.84405e+10,-12.9031,-12.9099,-12.8963,-10.2619,-10.258,-10.2657,-47.6323,-47.62,-47.6447,-81.6382,-81.9223,-81.3541,
2.845e+10,2.84495e+10,2.84505e+10,-12.9373,-12.9406,-12.9341,-10.269,-10.2655,-10.2724,-47.654,-47.9598,-47.3482,-84.3017,-88.7246,-79.8788,
2.846e+10,2.84595e+10,2.84605e+10,-12.9208,-12.921,-12.9206,-10.2417,-10.2413,-10.2422,-48.3172,-48.6134,-48.021,-84.1611,-79.9773,-88.3449,
2.847e+10,2.84695e+10,2.84705e+10,-12.8872,-12.8847,-12.8898,-10.2145,-10.2146,-10.2144,-48.2767,-48.428,-48.1254,-80.2576,-80.7837,-79.7315,
2.848e+10,2.84795e+10,2.84805e+10,-12.9824,-12.9784,-12.9863,-10.2032,-10.205,-10.2014,-48.2552,-48.4204,-48.0901,-78.3701,-79.629,-77.1113,
2.849e+10,2.84895e+10,2.84905e+10,-13.0156,-13.0158,-13.0154,-10.1932,-10.1958,-10.1905,-48.4268,-48.5625,-48.2911,-78.2431,-78.6875,-77.7987,
2.85e+10,2.84995e+10,2.85005e+10,-12.8702,-12.8854,-12.8551,-10.1722,-10.1771,-10.1673,-48.5123,-48.7284,-48.2961,-79.5887,-78.6505,-80.5269,
2.851e+10,2.85095e+10,2.85105e+10,-12.7759,-12.7767,-12.7751,-10.1558,-10.1613,-10.1502,-48.5421,-48.2113,-48.8729,-79.6809,-82.1321,-77.2297,
2.852e+10,2.85195e+10,2.85205e+10,-12.7686,-12.773,-12.7641,-10.1722,-10.1765,-10.1679,-47.7916,-47.7804,-47.8028,-81.6446,-87.1702,-76.1191,
2.853e+10,2.85295e+10,2.85305e+10,-12.7821,-12.7925,-12.7717,-10.2251,-10.2286,-10.2216,-48.5914,-48.8651,-48.3178,-85.6498,-91.015,-80.2845,
2.854e+10,2.85395e+10,2.85405e+10,-12.7683,-12.7806,-12.7559,-10.2694,-10.2748,-10.264,-48.6805,-48.8503,-48.5107,-80.8466,-80.3378,-81.3554,
2.855e+10,2.85495e+10,2.85505e+10,-12.702,-12.7183,-12.6858,-10.2568,-10.2664,-10.2472,-48.2759,-48.5278,-48.0241,-84.6342,-80.5563,-88.712,
