!CSV A.01.01
!Keysight Technologies,N5245B,MY63058204,A.19.30.04
!Date: Friday, March 20, 2026 10:20:32
!Source: Standard

BEGIN CH13_DATA
Freq(Hz),S21(DB),S21(DEG),S11(DB),S11(DEG),NF(DB),NF(DEG),S22(DB),S22(DEG)
27870000000,-1.8224012,108.85266,-15.855037,-115.99739,23.939898,0,-14.977839,-7.5886688
27880000000,-1.8431817,99.118637,-15.861679,-115.5295,23.976284,0,-14.297322,-8.1127844
27890000000,-1.8171046,89.337166,-15.851398,-115.36967,23.99061,0,-13.837821,-7.1582618
27900000000,-1.8150114,79.877312,-15.839861,-114.84541,23.845446,0,-13.784244,-5.6961722
27910000000,-1.7811971,69.988617,-15.830914,-114.13671,23.910862,0,-13.899652,-5.7997112
27920000000,-1.7843233,60.624786,-15.880201,-113.5686,23.995682,0,-13.96592,-8.2421303
27930000000,-1.7954546,50.980049,-15.865574,-112.53284,23.873653,0,-13.710937,-11.483968
27940000000,-1.7846922,41.204494,-15.977819,-111.66801,23.943222,0,-13.247507,-12.906844
27950000000,-1.7716631,31.668039,-16.017515,-111.15698,23.795614,0,-12.960206,-12.314812
27960000000,-1.7593123,21.875599,-16.021446,-110.62879,23.863014,0,-12.97155,-11.752918
27970000000,-1.7327956,12.054624,-16.096622,-110.47799,23.86286,0,-13.153489,-12.498754
27980000000,-1.7653638,2.7077725,-16.089199,-110.5151,23.924929,0,-13.314396,-15.047163
27990000000,-1.7972926,-6.9449997,-16.096781,-109.96644,23.913021,0,-13.10053,-18.026764
28000000000,-1.7991936,-16.587357,-16.061867,-109.75828,23.938101,0,-12.821536,-19.542444
28010000000,-1.8115298,-26.562765,-16.04822,-109.15406,23.961502,0,-12.474412,-19.351017
28020000000,-1.8077515,-35.866241,-15.948559,-108.45702,23.876612,0,-12.525196,-18.466209
28030000000,-1.8184383,-45.422855,-15.861625,-108.42712,23.92967,0,-12.711718,-19.06819
28040000000,-1.8552508,-55.079357,-15.789561,-107.11954,23.835207,0,-12.991566,-20.836952
28050000000,-1.8819959,-64.672859,-15.697322,-106.57301,23.895748,0,-12.986253,-23.48632
28060000000,-1.921353,-74.03466,-15.68068,-105.80639,23.871336,0,-12.746361,-24.247009
28070000000,-1.9491448,-83.600296,-15.669474,-105.17432,23.91783,0,-12.549704,-23.315893
28080000000,-1.9089613,-92.783646,-15.649892,-104.95148,23.913269,0,-12.700696,-21.732605
28090000000,-1.959563,-102.58469,-15.517305,-104.63904,23.819717,0,-12.935308,-21.562674
28100000000,-1.971166,-111.76009,-15.428518,-104.52482,23.740644,0,-13.209642,-22.929903
28110000000,-2.0068338,-121.40415,-15.346082,-104.48227,23.805414,0,-13.086107,-25.75329
28120000000,-2.048878,-130.85799,-15.172545,-104.59502,23.764029,0,-12.75974,-26.702997
28130000000,-2.0517468,-140.11806,-15.010211,-104.99976,23.769533,0,-12.529638,-25.616364
28140000000,-2.1206932,-149.5148,-14.862328,-105.15683,23.926445,0,-12.530708,-23.76017
28150000000,-2.08321,-158.83467,-14.694812,-105.34381,23.914038,0,-12.79773,-22.178844
28160000000,-2.1321027,-168.16435,-14.552544,-105.40466,24.003569,0,-13.144563,-23.489952
28170000000,-2.1631031,-177.29549,-14.382421,-105.28328,23.906794,0,-13.202943,-26.074385
28180000000,-2.2021096,173.38017,-14.279677,-105.25253,23.89468,0,-12.89784,-27.565008
28190000000,-2.1833913,163.94101,-14.160513,-105.61617,23.768419,0,-12.546165,-27.328552
28200000000,-2.2118568,154.64951,-14.057866,-105.82252,23.840164,0,-12.523517,-25.405148
28210000000,-2.1838143,145.22906,-14.034681,-106.31116,23.82815,0,-12.638854,-24.061031
28220000000,-2.2031004,135.90517,-13.990614,-106.91918,23.78373,0,-12.986378,-25.00527
28230000000,-2.2204762,126.47744,-13.950874,-107.5414,23.928526,0,-13.035457,-27.186546
28240000000,-2.223038,117.12022,-13.967673,-108.28149,23.972412,0,-12.648959,-28.669357
28250000000,-2.2788119,107.72974,-13.924224,-108.9763,23.833557,0,-12.254678,-28.814882
28260000000,-2.310077,98.328323,-13.884553,-109.94237,23.865103,0,-12.085133,-27.370207
28270000000,-2.333349,89.144859,-13.835054,-110.84942,23.852571,0,-12.197435,-26.37027
28280000000,-2.35765,79.807343,-13.792625,-111.31755,23.773222,0,-12.485734,-26.872559
28290000000,-2.4189162,70.609276,-13.770864,-112.40982,23.844461,0,-12.558009,-29.161015
28300000000,-2.4395552,61.354969,-13.785615,-112.94785,23.822897,0,-12.355752,-31.241587
28310000000,-2.5256221,52.235924,-13.740533,-113.34092,23.868908,0,-12.065676,-31.473776
28320000000,-2.5174425,43.158115,-13.763759,-113.48451,23.797089,0,-11.924747,-30.069574
28330000000,-2.5274251,33.930347,-13.786246,-113.99075,23.740593,0,-12.064209,-28.976131
28340000000,-2.549614,24.922134,-13.822634,-114.09346,23.753033,0,-12.414843,-29.65593
28350000000,-2.5943666,15.805882,-13.879494,-114.54095,23.866598,0,-12.573703,-32.308121
28360000000,-2.6317289,6.9626312,-14.007508,-114.99315,23.986422,0,-12.388738,-34.245403
28370000000,-2.672637,-2.1845009,-14.080544,-115.27908,23.902388,0,-12.085975,-34.543495
28380000000,-2.6947517,-11.231276,-14.14817,-116.05717,23.952192,0,-11.997313,-33.391167
28390000000,-2.668154,-20.239933,-14.218606,-116.17799,23.882458,0,-12.191636,-31.784698
28400000000,-2.6732199,-29.270388,-14.205247,-116.54571,23.849548,0,-12.501115,-31.811033
28410000000,-2.6716969,-38.045132,-14.268158,-117.116,23.81296,0,-12.658208,-34.27388
28420000000,-2.6803014,-47.17152,-14.284588,-117.00082,23.715445,0,-12.482554,-36.709068
28430000000,-2.6839814,-56.082695,-14.265866,-116.93507,23.728498,0,-12.191272,-37.460644
28440000000,-2.6684427,-65.308144,-14.304925,-116.75362,23.773916,0,-12.000845,-36.492367
28450000000,-2.6492202,-74.240318,-14.371123,-116.30601,23.774549,0,-12.199955,-35.124397
28460000000,-2.6330037,-83.473045,-14.370285,-115.77242,23.880651,0,-12.539709,-35.266705
28470000000,-2.6107838,-92.194832,-14.512775,-115.10262,23.805754,0,-12.808132,-37.269646
28480000000,-2.5813649,-101.44015,-14.652364,-114.70292,23.788836,0,-12.75851,-39.774605
28490000000,-2.5785248,-110.65327,-14.72232,-114.23279,23.898552,0,-12.480241,-40.46069
28500000000,-2.5599008,-119.69952,-14.875362,-114.37297,23.825718,0,-12.403642,-39.596581
28510000000,-2.5083089,-128.77745,-14.918727,-114.23048,23.897242,0,-12.533547,-38.239239
28520000000,-2.4726491,-138.07289,-15.009096,-114.38393,23.82897,0,-13.012336,-38.054688
28530000000,-2.4653966,-147.08873,-14.894706,-114.78479,23.820452,0,-13.334311,-39.679008
28540000000,-2.4438701,-156.06139,-14.896462,-114.59702,23.773464,0,-13.34372,-42.101212
28550000000,-2.4246168,-165.24829,-14.891151,-114.18565,23.757315,0,-13.132714,-42.572979
28560000000,-2.3883243,-174.86787,-14.824507,-113.94514,23.788143,0,-13.018336,-40.582939
28570000000,-2.342438,176.05333,-14.774737,-113.24929,23.905947,0,-13.153118,-38.600296
28580000000,-2.312613,166.79419,-14.808241,-112.45148,23.870173,0,-13.609502,-37.412033
28590000000,-2.2849147,157.59857,-14.792692,-111.23837,23.947218,0,-13.984425,-38.409275
28600000000,-2.291172,148.25685,-14.724802,-110.47242,23.938536,0,-14.07835,-40.287563
28610000000,-2.2712786,138.94386,-14.797137,-109.78291,23.928286,0,-13.924616,-40.725845
28620000000,-2.2210572,129.45183,-14.823438,-109.23331,23.74774,0,-13.785731,-38.783569
28630000000,-2.2074592,119.97074,-14.822397,-109.25867,23.850908,0,-13.968441,-36.056343
28640000000,-2.1933546,110.87635,-14.752526,-109.23227,23.908449,0,-14.439755,-34.118774
28650000000,-2.1577659,101.39642,-14.598571,-108.82979,23.874187,0,-14.864592,-34.775345
28660000000,-2.1915743,92.013329,-14.512175,-108.82155,23.880379,0,-14.897672,-36.479733
28670000000,-2.1969125,82.628227,-14.373587,-108.83936,23.840826,0,-14.588264,-36.804047
28680000000,-2.2102659,73.018021,-14.209142,-108.35538,23.852909,0,-14.22336,-34.493412
28690000000,-2.2149773,63.734982,-14.085802,-108.01752,23.92067,0,-14.107121,-30.68564
28700000000,-2.191963,54.426987,-13.938651,-107.44323,23.872459,0,-14.306659,-28.392841
28710000000,-2.1802185,44.866241,-13.901455,-107.08756,23.904427,0,-14.597501,-27.85585
28720000000,-2.1960058,35.767799,-13.854724,-106.40128,23.994247,0,-14.581935,-28.792669
28730000000,-2.1815331,26.250271,-13.790017,-106.51925,24.06868,0,-14.177771,-29.175512
28740000000,-2.2304008,16.767649,-13.786366,-106.64628,24.181501,0,-13.698536,-27.296659
28750000000,-2.2432334,7.3734112,-13.69257,-107.57047,24.07386,0,-13.410976,-23.992159
28760000000,-2.2271318,-2.0516417,-13.649601,-108.44485,24.036613,0,-13.506472,-21.332546
28770000000,-2.2377746,-11.402905,-13.573721,-109.51057,23.982519,0,-13.678699,-21.012571
28780000000,-2.2403772,-20.688845,-13.462498,-110.535,23.962236,0,-13.654265,-22.940958
28790000000,-2.2767658,-30.18136,-13.325807,-111.36055,24.018082,0,-13.231312,-24.900682
28800000000,-2.3062773,-39.714771,-13.173859,-111.8263,23.947451,0,-12.608921,-24.691326
28810000000,-2.36482,-49.246922,-13.104725,-112.00444,24.108557,0,-12.212321,-23.060871
28820000000,-2.3652525,-58.503235,-12.994467,-112.41282,24.204685,0,-12.136925,-21.606997
28830000000,-2.3468337,-67.795074,-13.008848,-112.51405,24.139088,0,-12.188447,-21.585125
28840000000,-2.4345069,-77.20414,-12.996559,-112.72733,24.102791,0,-12.185111,-23.90304
28850000000,-2.4925556,-86.602859,-13.047192,-113.36672,24.0459,0,-11.93411,-26.469334
28860000000,-2.5586245,-95.869766,-13.096989,-114.11907,24.099798,0,-11.465262,-27.298679
28870000000,-2.5927849,-105.38948,-13.150058,-115.06751,24.19389,0,-11.177058,-26.58148
28880000000,-2.6012919,-114.69564,-13.207544,-115.82229,24.188885,0,-11.055418,-25.570433
28890000000,-2.6464858,-123.92724,-13.239129,-117.04976,24.297827,0,-11.195902,-25.762209
28900000000,-2.7436302,-133.15738,-13.246125,-118.03239,24.295504,0,-11.268075,-27.915737
28910000000,-2.7795794,-142.23111,-13.209816,-118.94232,24.284388,0,-11.095482,-30.292395
28920000000,-2.8144712,-151.47867,-13.222193,-119.30666,24.221634,0,-10.807491,-31.836065
28930000000,-2.9127569,-160.87613,-13.239714,-119.45594,24.215096,0,-10.57273,-31.890942
28940000000,-2.9414225,-169.98445,-13.301527,-119.42649,24.293339,0,-10.545249,-31.757662
28950000000,-2.9983313,-179.30052,-13.403049,-119.65617,24.373009,0,-10.694576,-32.624928
28960000000,-3.0201044,171.76883,-13.555228,-119.84953,24.38043,0,-10.781402,-34.617252
28970000000,-3.1385803,162.66812,-13.718903,-120.69667,24.646107,0,-10.707293,-36.545685
28980000000,-3.1527095,153.82419,-13.891817,-121.25697,24.569561,0,-10.44858,-37.741344
28990000000,-3.2312214,144.6629,-14.066741,-122.80264,24.536148,0,-10.331385,-37.580036
29000000000,-3.2487483,135.43034,-14.199485,-123.9145,24.335737,0,-10.4306,-37.603794
29010000000,-3.2962115,126.57271,-14.242738,-124.89931,24.317902,0,-10.605639,-38.090534
29020000000,-3.3519697,117.85011,-14.32234,-125.5235,24.303709,0,-10.720769,-39.988266
29030000000,-3.3834083,108.90523,-14.346519,-125.82847,24.375334,0,-10.665811,-42.044281
29040000000,-3.4205928,99.849632,-14.402518,-125.69805,24.465309,0,-10.477861,-43.19978
29050000000,-3.4397845,90.815926,-14.514297,-125.55511,24.473608,0,-10.407945,-42.88102
29060000000,-3.4695609,82.01503,-14.682891,-124.83529,24.563915,0,-10.504339,-42.69875
29070000000,-3.5219781,73.319176,-14.86326,-124.40087,24.4792,0,-10.692312,-43.081562
29080000000,-3.5148239,64.380363,-15.12839,-123.8681,24.345798,0,-10.856603,-44.95969
29090000000,-3.5164118,55.672146,-15.364898,-123.79656,24.33148,0,-10.864623,-46.74007
29100000000,-3.5126336,46.792904,-15.643101,-123.78389,24.335901,0,-10.676383,-47.946423
29110000000,-3.5323725,37.727932,-15.959313,-124.45217,24.488466,0,-10.589451,-47.537834
29120000000,-3.4954584,28.550726,-16.063858,-124.99353,24.593424,0,-10.695763,-47.084206
29130000000,-3.4844892,19.608839,-16.24234,-125.39635,24.656675,0,-11.004663,-47.110615
29140000000,-3.4511209,10.760037,-16.250006,-125.41114,24.499681,0,-11.285753,-48.602276
29150000000,-3.4295156,1.6780249,-16.374708,-125.12691,24.27058,0,-11.366691,-50.686234
29160000000,-3.4206753,-7.2845769,-16.384409,-124.05114,24.264782,0,-11.263898,-51.642223
29170000000,-3.4282033,-16.384228,-16.463921,-122.60674,24.175703,0,-11.271923,-51.192692
29180000000,-3.3666656,-25.685583,-16.578365,-121.51591,24.311806,0,-11.43222,-50.357441
29190000000,-3.3826306,-34.891846,-16.762608,-119.87856,24.449499,0,-11.760121,-49.878563
29200000000,-3.3356411,-44.101955,-16.960588,-118.25327,24.560291,0,-12.056088,-50.419807
29210000000,-3.3080547,-53.292538,-17.256458,-117.98959,24.474182,0,-12.193408,-51.442924
29220000000,-3.2915132,-62.559433,-17.534639,-117.17107,24.35306,0,-12.194824,-51.372833
29230000000,-3.2755542,-71.977333,-17.734577,-117.51006,24.320578,0,-12.107575,-50.005028
29240000000,-3.2905278,-81.319992,-17.933132,-117.94259,24.209,0,-12.251356,-47.878593
29250000000,-3.2816656,-90.970047,-17.989883,-117.77791,24.124031,0,-12.490658,-45.903023
29260000000,-3.3018079,-100.24342,-17.945415,-118.14554,24.10306,0,-12.695553,-45.294922
29270000000,-3.2976356,-109.83748,-17.883572,-117.54892,24.15835,0,-12.64669,-45.026497
29280000000,-3.3239412,-119.10137,-17.822712,-116.19406,24.252995,0,-12.496992,-44.434433
29290000000,-3.3414919,-128.17874,-17.695772,-113.82777,24.217625,0,-12.179626,-42.783611
29300000000,-3.4002738,-138.17609,-17.779129,-111.59043,24.251492,0,-11.96787,-39.991219
29310000000,-3.4424191,-147.5535,-17.808113,-109.33075,24.214441,0,-11.891794,-37.904297
29320000000,-3.446116,-156.86984,-17.953194,-106.91955,24.112711,0,-11.866162,-37.306919
29330000000,-3.5118685,-166.23268,-18.101814,-105.22146,24.141954,0,-11.734641,-37.776619
29340000000,-3.592294,-175.57603,-18.332565,-104.25582,24.222294,0,-11.361976,-38.601597
29350000000,-3.6750488,175.07588,-18.501049,-103.4416,24.079714,0,-10.955631,-38.526505
29360000000,-3.7561517,165.62309,-18.571421,-103.23,24.237564,0,-10.570661,-38.038361
29370000000,-3.8239281,156.34578,-18.540079,-104.1245,24.266342,0,-10.350351,-37.509842
29380000000,-3.8967288,147.28081,-18.423626,-104.42024,24.158964,0,-10.197956,-37.767391
29390000000,-4.0001969,137.9855,-18.242594,-104.0465,24.033878,0,-10.015796,-38.986176
29400000000,-4.0677333,129.14713,-18.050114,-103.81743,23.979681,0,-9.7509232,-40.569698
29410000000,-4.2035017,120.13064,-17.91102,-102.90264,24.04977,0,-9.4046545,-41.852833
29420000000,-4.3186612,111.10548,-17.736511,-101.72363,24.157936,0,-9.1490288,-42.89032
29430000000,-4.4328957,102.28194,-17.759033,-100.41368,24.190193,0,-8.9922724,-43.737289
29440000000,-4.4479198,93.394501,-17.877775,-99.152367,24.139402,0,-8.8956327,-45.316185
29450000000,-4.617826,84.947853,-18.09502,-98.145439,24.147829,0,-8.7817364,-47.483612
29460000000,-4.6851802,76.312134,-18.396084,-97.605469,24.111788,0,-8.645463,-49.55695
29470000000,-4.7602324,67.644073,-18.496906,-98.506317,24.100456,0,-8.4789295,-51.525974
29480000000,-4.8369122,59.591877,-18.77494,-99.33728,24.060665,0,-8.3876753,-53.021328
29490000000,-4.8751025,51.089245,-18.90675,-101.06213,24.08206,0,-8.3742571,-54.873501
29500000000,-4.8869886,43.014996,-18.854368,-101.56475,24.086706,0,-8.3952522,-56.868263
29510000000,-4.8717923,34.698147,-18.827093,-102.84991,23.922586,0,-8.4036665,-59.275177
29520000000,-4.8945241,26.519352,-18.812399,-102.20452,23.957077,0,-8.3832073,-61.476444
29530000000,-4.8597312,18.443428,-18.690193,-101.24894,23.916655,0,-8.3625412,-63.166409
29540000000,-4.8222752,10.140732,-18.746319,-99.491539,23.891445,0,-8.448473,-64.65625
29550000000,-4.7345386,1.7719179,-18.978069,-97.548759,23.971228,0,-8.636385,-66.542938
29560000000,-4.6577039,-6.5216832,-19.189325,-95.204765,23.973013,0,-8.8269815,-68.919769
29570000000,-4.5736041,-14.798232,-19.413891,-92.690994,24.050491,0,-8.9577179,-71.58065
29580000000,-4.4622231,-23.467127,-19.837017,-91.382607,23.956682,0,-9.0736227,-73.982628
29590000000,-4.363739,-32.320087,-20.243593,-90.347794,23.971159,0,-9.1955147,-75.762764
29600000000,-4.2457042,-41.060535,-20.494183,-89.427216,23.953041,0,-9.4490519,-76.952484
29610000000,-4.0858393,-49.849018,-20.749552,-88.795128,23.822712,0,-9.8010044,-78.286499
29620000000,-3.9692752,-58.930225,-20.760225,-89.063812,23.873209,0,-10.24586,-79.919327
29630000000,-3.8717313,-67.873611,-20.62685,-88.474052,23.798531,0,-10.711774,-81.91008
29640000000,-3.7516968,-76.784439,-20.371731,-86.756508,23.829433,0,-11.054871,-83.569565
29650000000,-3.5933561,-85.980049,-20.169846,-84.057823,23.847168,0,-11.419638,-84.259117
29660000000,-3.512738,-95.408318,-19.867212,-81.598419,23.773418,0,-11.827289,-83.952225
29670000000,-3.3490946,-104.69447,-19.739592,-78.145454,23.808765,0,-12.334513,-83.312042
29680000000,-3.2367151,-114.41959,-19.697426,-74.163109,23.740755,0,-12.946507,-82.66925
29690000000,-3.1392612,-124.0143,-19.612659,-71.03933,23.808313,0,-13.544854,-82.501945
29700000000,-3.0470114,-133.59021,-19.761354,-67.792351,23.766752,0,-13.99061,-81.720192
29710000000,-2.9288547,-142.9557,-19.877132,-66.210442,23.770327,0,-14.407273,-79.584145
29720000000,-2.8572521,-152.86845,-20.004164,-65.734215,23.830643,0,-14.764315,-77.133591
29730000000,-2.7927821,-162.5097,-20.17259,-65.499397,23.795858,0,-15.059834,-73.760048
29740000000,-2.7634416,-172.24683,-20.134533,-66.364799,23.769972,0,-15.442708,-69.34848
29750000000,-2.6936941,177.88025,-19.962374,-67.186142,23.762617,0,-15.774853,-65.498016
29760000000,-2.6823537,168.23308,-19.701698,-68.421997,23.802904,0,-15.953066,-62.027775
29770000000,-2.6518922,158.38373,-19.220566,-67.966301,23.707485,0,-15.917633,-57.98283
29780000000,-2.6107938,148.83737,-18.956232,-67.595695,23.745777,0,-15.717649,-54.070499
29790000000,-2.6296716,139.06052,-18.588978,-66.126732,23.848419,0,-15.506996,-50.251217
29800000000,-2.5829852,129.50241,-18.338045,-64.148102,23.772331,0,-15.181967,-46.925053
29810000000,-2.5883985,119.85403,-18.14184,-62.025864,23.722973,0,-14.789675,-44.783875
29820000000,-2.5675645,110.22391,-18.139753,-60.292778,23.784958,0,-14.367002,-43.425159
29830000000,-2.5456793,100.51483,-18.094477,-58.88192,23.765509,0,-13.896039,-42.59462
29840000000,-2.5510561,90.710159,-18.260839,-57.845741,23.697165,0,-13.45411,-41.82999
29850000000,-2.5688603,81.129265,-18.374727,-56.935074,23.67135,0,-12.978499,-40.871429
29860000000,-2.5462716,71.487175,-18.418764,-56.975334,23.655439,0,-12.618255,-39.784451
29870000000,-2.5501285,61.919701,-18.320004,-57.273705,23.613077,0,-12.308424,-39.814091
29880000000,-2.57919,52.408566,-18.202555,-57.058563,23.755135,0,-12.03291,-40.042339
29890000000,-2.5700254,42.744816,-17.94845,-57.264282,23.750881,0,-11.747622,-41.187721
29900000000,-2.5704961,33.280922,-17.772348,-56.535522,23.585844,0,-11.415729,-42.357529
29910000000,-2.5682149,23.34568,-17.552694,-55.949692,23.652378,0,-11.149701,-43.253838
29920000000,-2.6048031,13.959467,-17.352055,-54.398182,23.694429,0,-10.893718,-43.982182
29930000000,-2.607857,4.509676,-17.134592,-53.467205,23.596865,0,-10.763068,-45.033142
29940000000,-2.6044226,-5.1551681,-17.058949,-52.253357,23.590345,0,-10.707743,-45.692493
29950000000,-2.6266088,-14.857985,-17.067284,-51.069962,23.65683,0,-10.614335,-47.01635
29960000000,-2.645541,-24.544588,-17.026106,-50.637726,23.691864,0,-10.555289,-48.515476
29970000000,-2.6601644,-33.881371,-16.994759,-50.484509,23.736452,0,-10.399258,-49.82003
29980000000,-2.672739,-43.60619,-16.996693,-51.302284,23.682087,0,-10.287935,-50.804226
29990000000,-2.6378767,-52.908821,-16.92618,-52.382103,23.688105,0,-10.182035,-51.615257
30000000000,-2.7065592,-62.791523,-16.75952,-52.784637,23.71063,0,-10.181715,-52.259266
30010000000,-2.6912451,-72.311768,-16.607655,-53.355686,23.542635,0,-10.224836,-53.157749
